ID,Description,Full_definition,recode,direction,Chapter ,API,Group
FP_CUSM_W_MOD,Current use of any modern method of contraception (married women),Percentage of currently married or in union women currently using any modern method of contraception.,IR,1,Chapter 07 - Family Planning,FP_CUSM_W_MOD,Maternal Health
RH_ANCN_W_N4P,"Antenatal visits for pregnancy: 4+ visits, 2 years preceding the survey",Percentage of women who had a live birth in the two years preceding the survey who had 4+ antenatal care visits.,IR,1,Chapter 09 - Maternal Health,RH_ANCN_W_N4P,Maternal Health
RH_DELA_C_SKP,"Assistance during delivery from a skilled provider, 2 years preceding the survey","Percentage of live births in the two years preceding the survey assisted by a skilled provider. Skilled provider usually includes doctor, nurse, midwife and auxiliary nurse or midwife, unless specified otherwise for a specific survey.",BR,1,Chapter 09 - Maternal Health,RH_DELA_C_SKP,Maternal Health
RH_DELP_C_DHT,"Place of delivery: Health facility, 2 years preceding the survey",Percentage of live births  in the two years preceding the survey delivered at a health facility.,BR,1,Chapter 09 - Maternal Health,RH_DELP_C_DHF,Maternal Health
RH_DELP_C_PUT,"Place of delivery: Public facility, 2 years preceding the survey",Percentage of live births in the two  years preceding the survey delivered at a public facility.,BR,1,Chapter 09 - Maternal Health,RH_DELP_C_PUB,Maternal Health
RH_DELP_C_PRT,"Place of delivery: Private facility, 2 years preceding the survey",Percentage of live births in the two  years preceding the survey delivered at a private facility.,BR,1,Chapter 09 - Maternal Health,RH_DELP_C_PRV,Maternal Health
RH_DELP_C_HOT,"Place of delivery: At home, 2 years preceding the survey",Percentage of live births in the two  years preceding the survey delivered at home.,BR,-1,Chapter 09 - Maternal Health,RH_DELP_C_HOM,Maternal Health
RH_PCCT_C_DY2,"Newborn postnatal check-up, 2 years preceding the survey",Percentage of last births in the two years preceding the survey who had their first postnatal checkup within the first two days after birth.,IR,1,Chapter 10 - Child Health,RH_PCCT_C_DY2,Maternal Health
CH_VACC_C_MSL,Children 12–23 months who had received MCV1 vaccination,Percentage of children 12-23 months who had received Measles vaccination.,KR,1,Chapter 10 - Child Health,CH_VACC_C_MSL,Child Health
CH_VACC_C_DP3,Children 12–23 months who had received DPT3 vaccination,Percentage of children 12-23 months who had received DPT 3 vaccination.,KR,1,Chapter 10 - Child Health,CH_VACC_C_DP3,Child Health
CH_VACC_C_NON,Children 12–23 months with no vaccinations,Percentage of children 12-23 months who had received no vaccinations.,KR,-1,Chapter 10 - Child Health,CH_VACC_C_NON,Child Health
ML_NETC_C_ITN,Children under age 5 who slept under an insecticide-treated net (ITN),Percentage of children under age 5 who slept under an insecticide treated net (ITN) the night before the survey.,PR,1,Chapter 12 - Malaria,ML_NETC_C_ITN,Child Health
CH_DIAT_C_ORT,Children under age 5 with diarrhea who were treated with either ORS or RHF in the two weeks preceding the survey,Percentage of children born in the five  years preceding the survey with diarrhea in the two weeks preceding the survey who received either oral rehydration solution (ORS) or recommended home fluids (RHF).,KR,-1,Chapter 09 - Maternal Health,CH_DIAT_C_ORT,Child Health
ED_LITR_W_LIT,Women who are literate,Percentage of women who are literate.,IR,1,Chapter 03 - Characteristics Of Respondents,ED_LITR_W_LIT,Social Determinants
CO_MOBB_W_MOB,Women who own a mobile phone,Percentage of women who own a mobile phone.,IR,1,Chapter 15 - Women's Empowerment,CO_MOBB_W_MOB,Social Determinants
ED_EDUC_W_SEH,Women with secondary or higher education,Percentage of women with secondary or higher education.,IR,1,Chapter 03 - Characteristics Of Respondents,ED_EDUC_W_SEH,Social Determinants
HC_WIXQ_P_12Q,Population in the lowest two wealth quintiles,Percentage of the de jure population in the lowest two wealth quintiles.,PR,-1,Chapter 02 - Housing Characteristics And Household Population,HC_WIXQ_P_12Q,Social Determinants
CM_ECMR_C_NNF,Deaths per 1000 live births in the first month of life in the five years preceding the survey,Deaths per 1000 live births in the first month of life in the five years preceding the survey.,BR,-1,Chapter 08 - Infant And Child Mortality,CM_ECMR_C_NNR,Health Outcomes
CN_NUTS_C_HA2,Children under age 5 who are stunted (HAZ < -2),Percentage of children under age 5 stunted (below -2 SD of height for age according to the WHO standard).,PR,-1,Chapter 11 - Nutrition Of Children And Adults,CN_NUTS_C_HA2,Health Outcomes
CN_NUTS_C_WH2,Children under age 5 who are wasted (WHZ < -2),Percentage of children under age 5 wasted (below -2 SD of weight for height according to the WHO standard).,PR,-1,Chapter 11 - Nutrition Of Children And Adults,CN_NUTS_C_WH2,Health Outcomes
