"ID","Description","Full_definition","recode","direction","Chapter","API","Group","Denominator","Measurement_Type","Population_base","WorldPop_raster","Denominator_used"
"FP_CUSM_W_MOD","Current use of any modern method of contraception (married women)","Percentage of currently married or in union women currently using any modern method of contraception.","IR",1,"Chapter 07 - Family Planning","FP_CUSM_W_MOD","Maternal Health","Currently married women","Percent","Women 15-49 (currently married/in union)","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Currently married/in-union women aged 15-49 (v501 %in% c(1,2))"
"RH_ANCN_W_N4P","Antenatal visits for pregnancy: 4+ visits, 2 years preceding the survey","Percentage of women who had a live birth in the two years preceding the survey who had 4+ antenatal care visits.","IR",1,"Chapter 09 - Maternal Health","RH_ANCN_W_N4P","Maternal Health","Women who had a live birth (or stillbirth) in the two (or three/five) years preceding the survey","Percent","Women 15-49 (with live birth in past 2 years)","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Women with a live birth in the past 24 months (child age < 24 months)"
"RH_DELA_C_SKP","Assistance during delivery from a skilled provider, 2 years preceding the survey","Percentage of live births in the two years preceding the survey assisted by a skilled provider. Skilled provider usually includes doctor, nurse, midwife and auxiliary nurse or midwife, unless specified otherwise for a specific survey.","BR",1,"Chapter 09 - Maternal Health","RH_DELA_C_SKP","Maternal Health","Live births (or stillbirths) in the two (or three/five) years preceding the survey","Percent","Women 15-49 (proxy for live births in past 2 years)","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Live births in the past 24 months (child age < 24 months)"
"RH_DELP_C_DHT","Place of delivery: Health facility, 2 years preceding the survey","Percentage of live births  in the two years preceding the survey delivered at a health facility.","BR",1,"Chapter 09 - Maternal Health","RH_DELP_C_DHF","Maternal Health","Live births (or stillbirths) in the two (or three/five) years preceding the survey","Percent","Women 15-49 (proxy for live births in past 2 years)","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Live births in the past 24 months (child age < 24 months)"
"RH_DELP_C_PUT","Place of delivery: Public facility, 2 years preceding the survey","Percentage of live births in the two  years preceding the survey delivered at a public facility.","BR",1,"Chapter 09 - Maternal Health","RH_DELP_C_PUB","Maternal Health","Live births (or stillbirths) in the two (or three/five) years preceding the survey","Percent","Women 15-49 (proxy for live births in past 2 years)","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Live births in the past 24 months (child age < 24 months)"
"RH_DELP_C_PRT","Place of delivery: Private facility, 2 years preceding the survey","Percentage of live births in the two  years preceding the survey delivered at a private facility.","BR",1,"Chapter 09 - Maternal Health","RH_DELP_C_PRV","Maternal Health","Live births (or stillbirths) in the two (or three/five) years preceding the survey","Percent","Women 15-49 (proxy for live births in past 2 years)","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Live births in the past 24 months (child age < 24 months)"
"RH_DELP_C_HOT","Place of delivery: At home, 2 years preceding the survey","Percentage of live births in the two  years preceding the survey delivered at home.","BR",-1,"Chapter 09 - Maternal Health","RH_DELP_C_HOM","Maternal Health","Live births (or stillbirths) in the two (or three/five) years preceding the survey","Percent","Women 15-49 (proxy for live births in past 2 years)","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Live births in the past 24 months (child age < 24 months)"
"RH_PCCT_C_DY2","Newborn postnatal check-up, 2 years preceding the survey","Percentage of last births in the two years preceding the survey who had their first postnatal checkup within the first two days after birth.","IR",1,"Chapter 10 - Child Health","RH_PCCT_C_DY2","Maternal Health","Last births in the two years preceding the survey","Percent","Women 15-49 (proxy for last births in past 2 years)","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Most recent live birth in the past 24 months (bidx_01==1 & child age < 24 months)"
"CH_VACC_C_MSL","Children 12–23 months who had received MCV1 vaccination","Percentage of children 12-23 months who had received Measles vaccination.","KR",1,"Chapter 10 - Child Health","CH_VACC_C_MSL","Child Health","Children age 12-23 months","Percent","Children 12-23 months","Children 1-4yr (closest to 12-23mo): F_1+M_1","Living children aged 12-23 months (b5==1 & age 12-23 months)"
"CH_VACC_C_DP3","Children 12–23 months who had received DPT3 vaccination","Percentage of children 12-23 months who had received DPT 3 vaccination.","KR",1,"Chapter 10 - Child Health","CH_VACC_C_DP3","Child Health","Children age 12-23 months","Percent","Children 12-23 months","Children 1-4yr (closest to 12-23mo): F_1+M_1","Living children aged 12-23 months (b5==1 & age 12-23 months)"
