survey_name,country,year,n_admin1,n_admin2,n_geo_cluster,n_cluster,shapefile
NG2024DHS,Nigeria,2024,37,774,1380,1380,geoboundaries
NG2018DHS,Nigeria,2018,37,774,1389,1382,geoboundaries
BF2021DHS,Burkina Faso,2021,13,45,514,514,geoboundaries
BF2010DHS,Burkina Faso,2010,13,45,573,541,geoboundaries
CD2023DHS,Congo Democratic Republic,2023,26,189,778,778,geoboundaries
CD2013DHS,Congo Democratic Republic,2013,26,189,536,492,geoboundaries
ET2019DHS,Ethiopia,2019,11,74,305,305,geoboundaries
ET2016DHS,Ethiopia,2016,11,74,643,622,geoboundaries
KE2022DHS,Kenya,2022,47,290,1691,1691,geoboundaries
KE2014DHS,Kenya,2014,47,290,1594,1585,geoboundaries
MZ2022DHS,Mozambique,2022,10,159,617,617,geoboundaries
MZ2011DHS,Mozambique,2011,10,159,610,609,geoboundaries
RW2019DHS,Rwanda,2019,5,30,500,500,geoboundaries
RW2015DHS,Rwanda,2014,5,30,492,492,geoboundaries
SN2019DHS,Senegal,2019,14,45,214,214,geoboundaries
SN2023DHS,Senegal,2023,14,45,399,399,geoboundaries
ZA2016DHS,South Africa,2016,9,52,746,746,geoboundaries
TZ2015DHS,Tanzania,2015,31,186,608,608,GADM
TZ2022DHS,Tanzania,2022,31,186,628,628,GADM
ML2018DHS,Mali,2018,9,50,345,328,geoboundaries
ML2023DHS,Mali,2023,9,50,407,407,geoboundaries
ZM2018DHS,Zambia,2018,10,116,545,535,geoboundaries
ZM2024DHS,Zambia,2024,10,116,545,545,geoboundaries
SL2013DHS,Sierra Leone,2013,5,16,435,435,WHO
SL2019DHS,Sierra Leone,2019,5,16,576,557,WHO
MW2024DHS,Malawi,2024,28,433,793,793,Humdata/geoboundaries
MW2015DHS,Malawi,2015,28,433,850,850,Humdata/geoboundaries
